abstract,url,snipper,lead_par,pub_date,type_of_material
"Officials say demand has slowed as coronavirus cases have fallen. But some experts question the scaling back of services, especially vaccination campaigns.",https://www.nytimes.com/2022/03/30/us/covid-vaccine-testing-states.html,"Officials say demand has slowed as coronavirus cases have fallen. But some experts question the scaling back of services, especially vaccination campaigns.","CHICAGO — As Americans shed masks and return to offices and restaurants, local and state officials are scaling back the most visible public health efforts to address the coronavirus pandemic.",2022-03-30T14:03:53+0000,News
"The $10 billion package does not include funds for the global vaccination effort, frustrating some Democrats.",https://www.nytimes.com/2022/04/04/us/politics/senate-covid-vaccines.html,"The $10 billion package does not include funds for the global vaccination effort, frustrating some Democrats.","Senators announced a deal on a $10 billion coronavirus aid package on Monday to provide additional aid for domestic testing, vaccination and treatment efforts, after dropping a push to include billions for the global vaccination effort. ",2022-04-04T11:10:25+0000,News
"The vaccine was only about 16 percent effective at reducing a person’s chance of getting a mild or moderate infection, the agency said. Experts said a good rate would be at least 50 percent.",https://www.nytimes.com/2022/03/10/health/flu-vaccine-effectiveness.html,"The vaccine was only about 16 percent effective at reducing a person’s chance of getting a mild or moderate infection, the agency said. Experts said a good rate would be at least 50 percent.","This season’s flu vaccine has offered little to no protection against getting a mild or moderate case of influenza, the Centers for Disease Control and Prevention said this week.",2022-03-11T01:47:11+0000,News
"Moderna is going head-to-head with Pfizer-BioNTech for the opportunity to vaccinate the youngest children, the only Americans still not eligible for shots.",https://www.nytimes.com/2022/03/14/us/politics/coronavirus-vaccine-children-moderna-pfizer.html,"Moderna is going head-to-head with Pfizer-BioNTech for the opportunity to vaccinate the youngest children, the only Americans still not eligible for shots.","WASHINGTON — Over the past 10 months, as tens of millions of children and teenagers received the Pfizer-BioNTech vaccine, the companies’ main rival, Moderna, sat on the sidelines, its shot limited to adults.",2022-03-14T07:02:30+0000,News
The F.D.A. temporarily halted efforts to authorize the Pfizer-BioNTech vaccine for young children amid several unexpected findings. The coming weeks should bring clarity.,https://www.nytimes.com/2022/03/10/health/covid-vaccines-children.html,The F.D.A. temporarily halted efforts to authorize the Pfizer-BioNTech vaccine for young children amid several unexpected findings. The coming weeks should bring clarity.,"For American parents, particularly those with young children, the last couple of months have been dizzying and beyond frustrating.",2022-03-10T18:55:15+0000,News
"The remarks by the director, Dr. Rochelle P. Walensky — on shots to Americans 50 to 64 with underlying medical conditions and all those 65 and older — were her clearest statement to date.",https://www.nytimes.com/2022/04/05/us/politics/cdc-second-boosters.html,"The remarks by the director, Dr. Rochelle P. Walensky — on shots to Americans 50 to 64 with underlying medical conditions and all those 65 and older — were her clearest statement to date.","Dr. Rochelle P. Walensky, director of the Centers for Disease Control and Prevention, said Tuesday that her agency “really would encourage people who are over 50 who have underlying medical conditions and those over the age of 65” to get a second booster shot.",2022-04-05T22:34:07+0000,News
"President Biden warned that U.S. progress against Covid-19 would be at severe risk if Congress failed to approve billions in emergency aid to purchase new vaccines, tests and therapeutics.",https://www.nytimes.com/video/us/politics/100000008280532/covid-19-aid-biden-congress.html,"President Biden warned that U.S. progress against Covid-19 would be at severe risk if Congress failed to approve billions in emergency aid to purchase new vaccines, tests and therapeutics.","President Biden warned that U.S. progress against Covid-19 would be at severe risk if Congress failed to approve billions in emergency aid to purchase new vaccines, tests and therapeutics.",2022-03-30T20:15:57+0000,Video
Taking these seven steps now can lower your risk and minimize the disruption to your family’s life.,https://www.nytimes.com/2022/03/30/well/live/ba2-omicron-covid.html,Taking these seven steps now can lower your risk and minimize the disruption to your family’s life.,"The next wave of Covid-19 is coming, and in some parts of the United States, it’s already here. Are you ready?",2022-03-30T18:43:40+0000,News
"Scientists have been keeping an eye on BA.2, one of three genetically distinct varieties of the Omicron variant of the coronavirus.",https://www.nytimes.com/2022/03/29/health/ba2-variant-covid-cases.html,"Scientists have been keeping an eye on BA.2, one of three genetically distinct varieties of the Omicron variant of the coronavirus.","The highly contagious Omicron subvariant known as BA.2, which led to a surge of coronavirus cases in Europe, is now the dominant version of the virus in new U.S. cases, according to estimates from the Centers for Disease Control and Prevention on Tuesday.",2022-03-29T19:49:18+0000,News
"After fraught discussions, officials decided that another shot might save thousands of lives if a new coronavirus wave hit before the fall. The F.D.A. could authorize the boosters next week.",https://www.nytimes.com/2022/03/25/us/politics/biden-second-booster-shot-older-americans.html,"After fraught discussions, officials decided that another shot might save thousands of lives if a new coronavirus wave hit before the fall. The F.D.A. could authorize the boosters next week.","WASHINGTON — The Biden administration is planning to give Americans age 50 or older the option of a second booster of the Pfizer-BioNTech or Moderna coronavirus vaccine without recommending outright that they get one, according to several people familiar with the plan.",2022-03-26T00:03:27+0000,News
